,$\tilde{\beta}$,$\theta$
419,7.218087673187256,10.173958778381348
420,6.609941005706787,5.8945536613464355
421,7.16798210144043,7.8468427658081055
422,10.035114288330078,6.456855773925781
423,7.659568786621094,7.562791347503662
424,6.749795436859131,5.242362976074219
425,9.338682174682617,9.12865924835205
426,7.304376125335693,4.651898384094238
427,6.665163516998291,6.585365295410156
428,7.699637413024902,6.092381954193115
429,6.885193824768066,8.410888671875
430,4.856847286224365,7.160969257354736
431,7.497579574584961,5.543900489807129
432,9.510526657104492,8.296001434326172
433,8.048589706420898,10.010183334350586
434,7.1984734535217285,7.953489780426025
435,7.472707748413086,5.819502353668213
436,5.948065280914307,5.498654365539551
437,8.360773086547852,8.056036949157715
438,7.800049304962158,7.994194507598877
439,9.977337837219238,8.308965682983398
440,6.914299964904785,7.300612926483154
441,7.7298150062561035,13.350319862365723
442,6.578855514526367,7.997692584991455
443,7.702148914337158,6.162581443786621
444,7.807188510894775,8.559635162353516
445,8.493183135986328,6.432711124420166
446,6.457810878753662,9.127299308776855
447,5.6278395652771,7.613714218139648
448,6.306934833526611,6.915234088897705
449,7.098755359649658,6.245974063873291
450,11.380227088928223,6.721057891845703
451,6.017158508300781,4.918675422668457
452,10.606215476989746,6.097431659698486
453,7.846118927001953,6.63951301574707
454,6.270654678344727,5.149891376495361
455,12.141350746154785,8.118698120117188
456,6.1402788162231445,9.1202974319458
457,5.368841171264648,5.945512771606445
458,8.18474292755127,5.696855068206787
